title,date,quote_text,status,url
As checagens em tempo real do debate da TV Globo para o governo paulista,"25 de outubro de 2018, 21h20","Os alunos que frequentam as Etecs e Fatecs, no último ano, 86% já garantem seu emprego. — João Doria (PSDB)",INSUSTENTÁVEL,https://aosfatos.org/noticias/checagens-em-tempo-real-do-debate-da-tv-globo-para-o-governo-paulista/
Checamos a mensagem de Bolsonaro ao Congresso Nacional,"5 de fevereiro de 2019, 12h47","Nós — como a maioria dos brasileiros — rejeitamos as ditaduras, a opressão, o desrespeito aos direitos humanos.",FALSO,https://aosfatos.org/noticias/checamos-a-mensagem-de-bolsonaro-ao-congresso-nacional/
Checamos a mensagem de Bolsonaro ao Congresso Nacional,"5 de fevereiro de 2019, 12h47","A taxa de investimento parou de cair, os postos de trabalho voltaram a ser criados, a renda real das famílias começou a dar sinais de melhora.",FALSO,https://aosfatos.org/noticias/checamos-a-mensagem-de-bolsonaro-ao-congresso-nacional/
Checamos a mensagem de Bolsonaro ao Congresso Nacional,"5 de fevereiro de 2019, 12h47",Os níveis de confiança melhoraram.,FALSO,https://aosfatos.org/noticias/checamos-a-mensagem-de-bolsonaro-ao-congresso-nacional/
Checamos a mensagem de Bolsonaro ao Congresso Nacional,"5 de fevereiro de 2019, 12h47","Os índices de mortalidade infantil voltaram a subir, depois de décadas de queda.",FALSO,https://aosfatos.org/noticias/checamos-a-mensagem-de-bolsonaro-ao-congresso-nacional/
"Drogas, emprego e petróleo: os erros de Donald Trump no discurso do Estado da União","6 de fevereiro de 2019, 17h21","Dezenas de milhares de americanos inocentes são mortos por drogas letais que cruzam nossa fronteira e inundam nossas cidades — incluindo metanfetamina, heroína, cocaína e fentanil.",FALSO,https://aosfatos.org/noticias/drogas-emprego-e-petroleo-os-erros-de-donald-trump-no-discurso-do-estado-da-uniao/
"Drogas, emprego e petróleo: os erros de Donald Trump no discurso do Estado da União","6 de fevereiro de 2019, 17h21","A fronteira da cidade de El Paso, Texas, costumava ter altos índices de crimes violentos — uma das maiores do mundo e considerada uma das cidades mais perigosas da nossa nação. Agora, com uma poderosa barreira construída, El Paso é uma das nossas cidades mais seguras.",FALSO,https://aosfatos.org/noticias/drogas-emprego-e-petroleo-os-erros-de-donald-trump-no-discurso-do-estado-da-uniao/
"Drogas, emprego e petróleo: os erros de Donald Trump no discurso do Estado da União","6 de fevereiro de 2019, 17h21","No passado, a maioria das pessoas nesta sala votou a favor do muro, mas ele nunca foi efetivamente construído. Eu vou conseguir construir.",FALSO,https://aosfatos.org/noticias/drogas-emprego-e-petroleo-os-erros-de-donald-trump-no-discurso-do-estado-da-uniao/
"Drogas, emprego e petróleo: os erros de Donald Trump no discurso do Estado da União","6 de fevereiro de 2019, 17h21","Criamos 5,3 milhões de novos empregos e, mais importante, adicionamos 600 mil novos empregos na indústria.",FALSO,https://aosfatos.org/noticias/drogas-emprego-e-petroleo-os-erros-de-donald-trump-no-discurso-do-estado-da-uniao/
"Drogas, emprego e petróleo: os erros de Donald Trump no discurso do Estado da União","6 de fevereiro de 2019, 17h21",Nós desencadeamos uma revolução na energia americana. Os Estados Unidos são hoje o maior produtor de petróleo e gás natural do mundo.,FALSO,https://aosfatos.org/noticias/drogas-emprego-e-petroleo-os-erros-de-donald-trump-no-discurso-do-estado-da-uniao/
